id_empleado;mes;anio;comision;salario_del_mes;horas_ordinarias;horas_recargo_nocturno;horas_extras_diurnas;horas _extras_nocturnas;horas_festivo;horas_extra_diurna_festivo;horas_extra_nocturna_festivo;arl;salud_empleado;salud_empresa;pension_empleado;pension_empresa;cesantias;int_cesantias;primas;vacaciones;icbf;sena;cpf;bono
100114;mayo;2020;89230;1200000;240;0;3;1;0;0;0;24000;48000;102000;72000;144000;99960;1000;99960;49920;36000;24000;48000;200000
100115;mayo;2020;68723;1130000;240;0;2;1;0;0;0;22600;45200;96050;67800;135600;94129;941;94129;47008;33900;22600;45200;200000
100116;mayo;2020;64232;985000;240;0;2;2;0;0;0;19700;39400;83725;59100;118200;82051;821;82051;40976;29550;19700;39400;200000
100117;mayo;2020;74234;1340000;240;0;5;2;0;0;0;26800;53600;113900;80400;160800;111622;1116;111622;55744;40200;26800;53600;200000
100118;mayo;2020;85021;1200000;240;0;3;3;0;0;0;24000;48000;102000;72000;144000;99960;1000;99960;49920;36000;24000;48000;200000
100119;mayo;2020;59762;1050000;240;0;2;1;0;0;0;21000;42000;89250;63000;126000;87465;875;87465;43680;31500;21000;42000;200000
100100;abril;2020;0;20000000;240;0;0;0;0;0;0;400000;800000;1700000;1200000;2400000;1666000;16660;1666000;832000;600000;400000;800000;0
100101;abril;2020;0;15000000;240;0;3;0;0;0;0;300000;600000;1275000;900000;1800000;1249500;12495;1249500;624000;450000;300000;600000;0
100102;abril;2020;0;5000000;240;0;1;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100103;abril;2020;0;15000000;240;0;2;0;0;0;0;300000;600000;1275000;900000;1800000;1249500;12495;1249500;624000;450000;300000;600000;0
100104;abril;2020;0;10000000;240;0;4;0;0;0;0;200000;400000;850000;600000;1200000;833000;8330;833000;416000;300000;200000;400000;0
100105;abril;2020;0;10000000;240;0;2;0;0;0;0;200000;400000;850000;600000;1200000;833000;8330;833000;416000;300000;200000;400000;0
100106;abril;2020;0;2000000;240;0;2;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100107;abril;2020;0;5000000;240;0;4;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100108;abril;2020;0;5000000;240;0;1;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100109;abril;2020;0;5000000;240;0;2;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100110;abril;2020;0;5000000;240;0;3;0;0;0;0;100000;200000;425000;300000;600000;416500;4165;416500;208000;150000;100000;200000;0
100111;abril;2020;0;2000000;240;0;4;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100112;abril;2020;0;2000000;240;0;1;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100113;abril;2020;0;2000000;240;0;0;0;0;0;0;40000;80000;170000;120000;240000;166600;1666;166600;83200;60000;40000;80000;0
100114;abril;2020;49672;1200000;240;0;4;3;0;0;0;24000;48000;102000;72000;144000;99960;1000;99960;49920;36000;24000;48000;0
100115;abril;2020;57829;1130000;240;0;2;2;0;0;0;22600;45200;96050;67800;135600;94129;941;94129;47008;33900;22600;45200;200000
100116;abril;2020;56268;985000;240;0;5;2;0;0;0;19700;39400;83725;59100;118200;82051;821;82051;40976;29550;19700;39400;200000
100117;abril;2020;87291;1340000;240;0;3;3;0;0;0;26800;53600;113900;80400;160800;111622;1116;111622;55744;40200;26800;53600;200000
100118;abril;2020;68922;1200000;240;0;5;3;0;0;0;24000;48000;102000;72000;144000;99960;1000;99960;49920;36000;24000;48000;200000
100119;abril;2020;55429;1050000;240;0;2;1;0;0;0;21000;42000;89250;63000;126000;87465;875;87465;43680;31500;21000;42000;200000
